# examples.csv — Russian → Avar parallel corpus with Leipzig-style gloss.
# Phase 1: rows 1–25 translated as calibration sample; rows 26–300 pending (av and gloss empty).
# To parse: pandas.read_csv(..., comment='#')  or  csv.reader after stripping lines starting with '#'.
#
# Conventions (palochka = Ӏ U+04C0 everywhere):
#   Names (third declension per avar_grammar_book.md 899–952; direct attachment on prime stem,
#     epenthetic -и- for cons-final). Case order: NOM / ERG / GEN / DAT / SUPESS / ABL / COM.
#     Том   (I,  cons):  Том   / Томица   / Томил   / Томие   / Томида   / Томидаса   / Томгун
#     Джон  (I,  cons):  Джон  / Джоница  / Джонил  / Джоние  / Джонида  / Джонидаса  / Джонгун
#     Мэри  (II, vowel): Мэри  / Мэрица   / Мэрил   / Мэрие   / Мэрида   / Мэридаса   / Мэригун
#   Places:
#     Бостон   (attested): Бостон / Бостоналда / Бостоналде / Бостоналдаса
#     Австралия (vowel):   Австралия / Австралиялда / Австралиялде / Австралиялдаса
#
#   Noun classes:  I = в   II = й   III = б   PL = р/л   (default III for abstract 'это')
#   Class agreement on directionals/demonstratives follows the MOVER/antecedent class:
#     'where-to'  киве (I) / кие (II) / кибе (III, default) / кире (PL)
#     'there-to'  гьанив / гьаний / гьанибе / гьанире
#     'be-INF'    вукӀине / йукӀине / букӀине / рукӀине
#     'ине' (go) has NO class marker (notes.md §11); 'лъугьине' (become) likewise class-neutral.
#   Argument frames (verified against corpus; DO NOT overgeneralize):
#     SUPESS -да   : лъазе 'know', кӀвезе 'can', бажаризе 'be able', бичӀчӀизе 'understand',
#                    бихьизе 'see', гьикъизе 'ask' (addressee takes SUPESS).
#     DAT -е       : бокьизе 'want/love' (дие бокьула, NOT *дида бокьула), рокьизе 'love'.
#                    Volitional "want to V" is usually rendered as the compound perfect
#                    'V-INF X-е бокьун буго', not the simple 'X-е бокьула'. Embedded yes/no Q
#                    ("whether X wants") takes '-ищали' on the auxiliary: 'бокьун бугищали' or
#                    'бокьун бугебищали', NOT simple 'бокьулебали'.
#     ABS          : хӀинкъизе 'fear' (дун хӀинкъулев — intransitive, not experiencer);
#                    feared-of thing in ABL, or INF complement.
#   Light-verb "N + ккезе" (harm/trouble/benefit falls on someone): affectee takes DAT -е,
#     NOT SUPESS. Attested: зарал ккезе X-е 'harm befalls X', къварилъи ккезе X-е 'trouble for X'.
#   Light-verb "N + буго" (intention/hope/opportunity): possessor in GEN -л/-ул/-ир (дир ният буго).
#     When the intender is also subject of a matrix verb of saying, the GEN can be omitted
#     and the intender identified via apposition/ERG.
#   Quotative frame: "[CLAUSE]-ин/-илан абуна [AGENT-ERG]" with embedded clause verb in finite form.
#   Attributive "as.if" frame: "[CLAUSE] гӀадин буго" REQUIRES participle on clause's auxiliary,
#     so past-negative copula is букӀинчӀеб (III ptcp), NOT букӀинчӀо (finite). Contrast with the
#     quotative frame above, which does take the finite form.
#   Comparative "[X] гӀадин" takes the case of the matrix argument it parallels (NOT always ABS):
#     - Adverbial manner ("does X as Y does"): X matches the shared verb's subject/experiencer case,
#         e.g. 'Дуда гӀадин ... Томида кӀвелароан' (both SUPESS via кӀвезе).
#     - Attributive on head noun ("an X like Y"): Y is ABS, гӀадин takes class agreement with the
#         head noun, e.g. 'мун гӀадинав багьадур' (like-you.I hero.I).
#     - Attributive "as.if-clause": '[CLAUSE-PTCP] гӀадин буго' — clause-level, no NP case at all.
#   Irrealis conditional: protasis -арабани / -чӀебани, apodosis PRS/FUT + -аан (see notes.md §1.2).
#   "never" in NEG clause: киданиги + NEG verb (e.g. киданиги кӀвеларо / кӀоченаро); avoid calques.
#   "almost X" idiom: [subj-ABS] [X-INF] дагьалъ хутӀана (dict: 'чуть не упал' = 'ккезе дагьалъ хутӀана').
#     Subject of the embedded INF is ABS, not SUPESS, even if the verb normally takes SUPESS subj.
#   Temporal "N units ago": unit in ERG + цебе (анкьалъ цебе, къоялъ цебе); bare ABS is wrong.
#   бокьизе 'want/love': PRS.PTCP.III is бокьулеб (not бокьунеб, which is ungrammatical).
#
#   Gloss tags: ERG GEN DAT SUPESS SUPLAT SUPABL INTER IN LOC ALL ABL COM EQUAT FOC Q QUOT NMLZ
#               PRS PST FUT HAB IPFV PTCP.PRS PTCP.PST INF MSD IMP PROH OPT COND IRR NEG CAUS
#               CVB CVB.SIM CVB.NEG CVB.WHEN CVB.PURP CVB.UNTIL  classes: I II III PL
#
#   [?reason] inside gloss = low-confidence choice; review before use as training signal.
#
ru,av,gloss
"Том, похоже, не знал, что ему нужно делать.","Жиндие щиб гьабизе кколебали Томида лъалеб букӀинчӀеб гӀадин буго.","REFL.DAT what do-INF must-PTCP.III-Q Tom-SUPESS know-PTCP.PRS.III be-NEG.PST.PTCP.III like be-PRS.III"
"Том даже не попытался уступить дорогу.","Нух кьезецин Томица хӀаракат бахъичӀо.","road give-INF-even Tom-ERG effort take.out-NEG.PST [?idiom:'уступить дорогу'=нух кьезе vs нух битӀизе]"
"Том делал это для нас на протяжении многих лет.","ГӀемер соназ Томица нижее гьеб гьабулеб букӀана.","many year-PL.ERG Tom-ERG 1PL-DAT 3SG.III do-PTCP.PRS.III be-PST.III"
"Том никогда не смог бы сделать это так же хорошо, как ты.","Дуда гӀадин лъикӀго гьеб гьабизе Томида киданиги кӀвелароан.","2SG.SUPESS like well-FOC 3SG.III do-INF Tom-SUPESS ever-even can-IRR.NEG"
"Том может пострадать, если попытается это сделать.","Гьеб гьабизе хӀалбихьани, Томие зарал ккезе бегьула.","3SG.III do-INF try-COND Tom-DAT harm fall-INF may-PRS.III"
"Том мог бы пострадать, если бы попытался это сделать.","Гьеб гьабизе хӀалбихьарабани, Томие зарал ккезе бегьулаан.","3SG.III do-INF try-IRR Tom-DAT harm fall-INF may-IRR"
"Том чуть не попал под машину.","Том машиналда гъоркь ккезе дагьалъ хутӀана.","Tom car-SUPESS under fall-INF little-ERG remain-PST.III"
"Том начал это делать всего несколько недель назад.","Томица гьеб гьабизе цо чанго анкьалъ цебе байбихьана.","Tom-ERG 3SG.III do-INF just some week-ERG before begin-PST.III"
"Том спросил меня, хочу ли я сделать это сегодня.","Жакъа гьеб гьабизе дие бокьун бугебищали, Томица дида гьикъана.","today 3SG.III do-INF 1SG.DAT want-CVB be-PTCP.III-Q-EMBED Tom-ERG 1SG.SUPESS ask-PST.III"
"Несколько дней назад мы с Томом катались на коньках.","Чанго къоялъ цебе Томги дунги конькабазда хъещтӀана.","some day-ERG before Tom-also 1SG-also skates-SUPESS.PL skate-PST"
"Мы с Томом раньше работали в одном офисе.","Томги дунги цебе цо офисалда хӀалтӀулаан.","Tom-also 1SG-also before one office-SUPESS work-HAB.PST"
"Том мог бы стать учителем, если бы захотел.","Бокьарабани, Томида мугӀалимлъун лъугьине кӀвелаан.","want-IRR Tom-SUPESS teacher-EQUAT become-INF can-IRR"
"Тебе следует попросить Тома попросить Мэри сделать это.","Дуца Томида абизе ккола, Мэрида гьеб гьабизе гьареян.","2SG-ERG Tom-SUPESS say-INF must-PRS.III Mary-SUPESS 3SG.III do-INF request-IMP-QUOT [?syntax:nested complements rendered as direct-quote]"
"Это Том попросил Мэри сделать это.","Мэрида гьеб гьабизе гьарурав Том ккола.","Mary-SUPESS 3SG.III do-INF request-PTCP.PST.I Tom be-PRS.III"
"Том был уверен, что Мэри понимала, что ей нужно это сделать.","Жиндие гьеб гьабизе кколеблъи Мэрида бичӀчӀулеб бугилан, Том ракӀчӀун вукӀана.","REFL.DAT 3SG.III do-INF must-PTCP.III-NMLZ Mary-SUPESS understand-PTCP.PRS.III be-PRS.III-QUOT Tom confident-CVB be-PST.I"
"Том сказал Мэри, чтобы она не боялась это сделать.","Гьеб гьабизе хӀинкъугейилан Томица Мэрида абуна.","3SG.III do-INF fear-PROH-QUOT Tom-ERG Mary-SUPESS say-PST.III"
"Том сказал, что попросит Мэри сделать это за тебя.","Дур бакӀалда гьеб гьабизе Мэрида гьарилин абуна Томица.","2SG.GEN place-SUPESS 3SG.III do-INF Mary-SUPESS request-FUT-QUOT say-PST.III Tom-ERG"
"Том сказал, что попросит Мэри сделать это за него.","Жиндир бакӀалда гьеб гьабизе Мэрида гьарилин абуна Томица.","REFL.GEN place-SUPESS 3SG.III do-INF Mary-SUPESS request-FUT-QUOT say-PST.III Tom-ERG"
"Том сказал, что собирается сделать это для Мэри.","Мэрие гьеб гьабизе ният бугилан абуна Томица.","Mary-DAT 3SG.III do-INF intention be-PRS.III-QUOT say-PST.III Tom-ERG"
"Том сказал, что знал, что Мэри должна это сделать.","Мэрица гьеб гьабизе кколеблъи жиндида лъалаанилан абуна Томица.","Mary-ERG 3SG.III do-INF must-PTCP.III-NMLZ REFL.SUPESS know-HAB.PST-QUOT say-PST.III Tom-ERG"
"Том сказал, что Мэри собирается это для нас сделать.","Нижее Мэрица гьеб гьабизе ният бугилан абуна Томица.","1PL.DAT Mary-ERG 3SG.III do-INF intention be-PRS.III-QUOT say-PST.III Tom-ERG"
"Том сказал, что Мэри собирается это для меня сделать.","Дие Мэрица гьеб гьабизе ният бугилан абуна Томица.","1SG.DAT Mary-ERG 3SG.III do-INF intention be-PRS.III-QUOT say-PST.III Tom-ERG"
"Том сказал, что хочет купить Мэри меховую шубу.","Жиндие Мэрие расаб тӀимугъ босизе бокьун бугилан абуна Томица.","REFL.DAT Mary-DAT furry fur.coat buy-INF want-CVB be-PRS.III-QUOT say-PST.III Tom-ERG"
"Куда вы отправляетесь, когда хотите побыть в одиночестве?","Ялгъузго рукӀине нужее бокьани, нуж кире уна?","alone-FOC be-INF.PL 2PL.DAT want-COND 2PL where.PL-ALL go-PRS"
"Я не знал, что ты умеешь водить автобус.","Автобус бачине дуда бажарулеблъи, дида лъалеб букӀинчӀо.","bus drive-INF 2SG-SUPESS can-PTCP.PRS.III-NMLZ 1SG-SUPESS know-PTCP.PRS.III be-NEG.PST"
"Я позвоню вам, как только приеду в Бостон.",,
"Том и Мэри сидели рядом на диване.",,
"Том пригласил тебя поехать в Бостон с Мэри?",,
"В прошлом месяце в Бостоне Тома сбила машина.",,
"Интересно, нужно ли мне это делать?",,
"Интересно, придётся ли мне это делать?",,
"Думаю, это мог сделать Том.",,
"Я не хочу здесь находиться так же, как и ты.",,
"Было бы неплохо попробовать это сделать.",,
"Том говорит, что на следующей неделе ему нужно ехать в Бостон.",,
"Я пойду с тобой, если тебе понадобится моя помощь.",,
"Я проведу остаток жизни в тюрьме.",,
"Сообщите Тому, как он может с вами связаться.",,
"Скажите Тому, обязан он это делать или нет.",,
"Я не уверена, что Том хочет со мной разговаривать.",,
"Как долго нам придётся ждать Тома?",,
"Что ты сказала Тому, отчего он заплакал?",,
"Я спросил Тома, планирует ли он это сделать.",,
"В детстве Том очень любил есть пироги.",,
"Я спросил Тома, хочет ли он сделать это сегодня.",,
"Я попросил Тома научить меня этому.",,
"На прошлой неделе у Тома было гораздо больше дел, чем у меня.",,
"Если потребуется, я могу повторить это завтра.",,
"Том сделал это так старательно, как только мог.",,
"Тому нужно было сказать, чтобы он этого здесь не делал.",,
"Тому нужно сказать, чтобы он больше так не делал.",,
"Сомневаюсь, что кто-нибудь говорил Тому, что делать.",,
"Почему бы тебе не сделать то, о чём тебя попросил Том?",,
"Ты до сих пор ходишь в ту же школу, что и Том?",,
"К тому времени, как вы приедете, Том уже будет дома.",,
"У Тома в три раза больше книг, чем у меня.",,
"Кто-нибудь объяснил Тому, почему он должен это делать?",,
"Почему ты не попросил Тома сделать это за тебя?",,
"Откуда вы знали, что Том этим занимался?",,
"Как вы думаете, Том пробудет здесь долго?",,
"Как думаешь, мне стоит поговорить с Томом?",,
"Том сидел один на бревне, подальше от огня.",,
"Я знаю, что с Томом сложно ладить.",,
"Вам лучше этого не делать.",,
"Том сказал, что, возможно, сможет нам помочь.",,
"Найти на это время будет сложно.",,
"Чтобы стать сильным, нужно есть.",,
"Том отложил книгу и пошел купаться.",,
"Как вы расслабляетесь после тяжелого рабочего дня?",,
"Тому придётся остаться здесь с нами.",,
"Я уверен, что смогу связаться с Томом.",,
"Я не могу решить, стоит ли мне это делать или нет.",,
"Я дам тебе эту книгу на несколько дней.",,
"Когда вы в последний раз были в поездке?",,
"Мне платят меньше, чем Тому.",,
"У меня нет денег, чтобы оплатить проезд на автобусе.",,
"Теперь Том пьет гораздо больше, чем раньше.",,
"Надеюсь, никто не видел, как вы сюда вошли.",,
"На столе у ​​Тома стоит фотография его жены.",,
"Я сделаю домашнее задание, как только вернусь домой.",,
"Почему вы так спешите продать свой дом?",,
"Надеюсь, Том сможет остаться в Бостоне на некоторое время.",,
"Том сказал мне, что ему нужно ехать в Австралию.",,
"Уверяю вас, я этого делать не буду.",,
"Том сказал мне, что планирует ограбить банк.",,
"Том сказал мне, что собирается тебя убить.",,
"Я думаю, мне не стоит так поступать с Томом.",,
"Я не думаю, что смог бы так поступить с Томом.",,
"Я подозреваю, что Том сможет сделать это самостоятельно.",,
"Хотел сообщить вам, что я опоздаю.",,
"Думаю, вы понимаете, что нам нужно сделать это сегодня.",,
"Думаю, вы понимаете, что нам нужно сделать это сегодня.",,
"Думаю, вы понимаете, что мы должны помочь Тому.",,
"Том дал нам понять, что не хочет этого делать.",,
"Том дал мне понять, что не хочет этого делать.",,
"Том дал нам понять, что хочет это сделать.",,
"Том дал нам понять, что ему необходимо это сделать.",,
"Том дал мне понять, что ему нужно это сделать.",,
"Том дал нам понять, что ему это не нравится.",,
"Том дал мне понять, что ему это не нравится.",,
"Я знаю, что многие люди способны на это.",,
"Я знаю, что это сделали вы.",,
"Я просто хочу, чтобы ты знала, что я тебя очень люблю.",,
"Я просто хочу, чтобы ты знала, что ты мне очень нравишься.",,
"Я хочу знать, правильно ли я поступаю.",,
"Я знаю много людей, у которых нет автомобилей.",,
"Я знаю много людей, которые не едят мясо.",,
"Я не всегда делаю то, что мне говорит Том.",,
"Может быть, вы могли бы замолвить за меня словечко?",,
"Мы с Томом этого делать не будем.",,
"Почему ты мне не сказал, что тебе нужно это сделать?",,
"Вы знали, что меня собираются уволить?",,
"Я теперь хожу по магазинам не так часто, как раньше.",,
"Я теперь плаваю не так часто, как раньше.",,
"Моё зрение уже не такое хорошее, как раньше.",,
"Вы знаете, как со мной связаться, если я вам понадоблюсь.",,
"Том одолжит вам денег, если вы его об этом попросите.",,
"Том пробудет в Бостоне как минимум неделю.",,
"Том подошел к двери, чтобы посмотреть, кто там.",,
"Том знает, где меня найти, если я ему понадоблюсь.",,
"Том идёт на автобусную остановку, чтобы встретить Мэри.",,
"Том еще не сказал мне, что мне следует делать.",,
"Том понятия не имел, что собирается сделать Мэри.",,
"Том надул воздушный шарик и подарил его Мэри.",,
"Том спросил меня, сколько денег у меня с собой.",,
"Том попросил Мэри зайти по дороге домой.",,
"Том и Мэри хотят, чтобы мы им в этом помогли.",,
"Том и Мэри хотят поехать в одно и то же место.",,
"Том и Мэри говорят, что Джон хорошо готовит.",,
"Том и Мэри собираются сделать это со мной.",,
"Мэри познакомилась на пляже с мальчиком примерно своего возраста.",,
"Я знаю причину, по которой Том злился на Мэри.",,
"Как ты думаешь, почему Том хотел, чтобы я это сделал?",,
"Как вы думаете, почему Том хотел, чтобы мы это сделали?",,
"Вы мало что выиграете и многое потеряете.",,
"В последний раз я видел Тома у тебя дома.",,
"Только Том мог это сделать.",,
"Том сказал, что хочет сесть рядом со мной.",,
"Вам следует обратиться за помощью к Тому.",,
"Том — безусловно, лучший игрок в команде.",,
"У Тома последние несколько дней держится температура.",,
"Мне было бы достаточно легко это сделать.",,
"В последний раз я видел Тома на вашей вечеринке.",,
"Нам следует пригласить Тома поработать у нас.",,
"Я делаю это не так, как мне велел Том.",,
"Я сказала Тому, за кого хочу выйти замуж.",,
"Понятия не имею, как Тому это удалось.",,
"Я не хочу, чтобы Том знал, сколько я вешу.",,
"Я не хотела, чтобы Том увидел, что я делаю.",,
"Я не хотела, чтобы Том поехал с нами в Бостон.",,
"Почему бы нам троим не пойти на пляж?",,
"Мы потратили много времени, пытаясь это сделать.",,
"На написание этой книги у меня ушло много времени.",,
"Сейчас я чувствую себя намного лучше, чем на прошлой неделе.",,
"У меня не нашлось времени на это.",,
"Я хочу узнать, где можно купить фрукты.",,
"Мне казалось, я тебе говорил больше так не делать.",,
"Я до сих пор не понимаю, чего ты от меня хочешь.",,
"Я пока не знаю, как это сделать.",,
"Откуда Том знал, что мы собираемся это сделать?",,
"Я познакомился с Томом, когда впервые приехал в Бостон.",,
"На прочтение этой книги уйдёт примерно неделя.",,
"В больницу ко мне никто не приходил навестить.",,
"Сколько будет стоить поездка туда на автобусе?",,
"Том поехал на вокзал проводить Мэри?",,
"Сколько чашек чая вы выпиваете в день?",,
"Я не хотела есть то, что приготовил для нас Том.",,
"Том часто рассказывал Джону о Мэри.",,
"Том волен делать все, что захочет.",,
"Я бы хотел выпить чашечку кофе.",,
"Где я мог бы приобрести такой?",,
"Я знаю, каково это — быть совсем одному.",,
"Я могу отдать тебе эту книгу, если хочешь.",,
"Почему бы нам не разместить объявление в местной газете?",,
"Почему бы мне не купить это, если я могу себе это позволить?",,
"Почему Том это сделал, для меня до сих пор загадка.",,
"Это оказалось не так весело, как я думал.",,
"Сколько времени вы нам дадите на это?",,
"Вы знаете, придёт ли Том на вечеринку?",,
"Я не хотела есть то, что приготовил для меня Том.",,
"Думаю, Том справится с этим лучше, чем я.",,
"Я не знаю, когда Том появится.",,
"Мне нужно, чтобы вы позвонили мне как можно скорее.",,
"Я хочу, чтобы вы остались ещё на пару дней.",,
"Том сказал, что не хочет сидеть рядом со мной.",,
"Давайте зайдём сюда и выпьем чашечку кофе.",,
"Мне нужна книга, которую я тебе одолжила на прошлой неделе.",,
